Metabolite,Diet,TG(62:14),TG(42:10),TG(62:17),TG(64:15),TG(60:14),TG(62:16),TG(58:12),"1,28-Octacosanediol diferulate",3-Isopropylcatechol,Arg Lys Pro,Bouillonamide A,C-12 NBD-dihydro-Ceramide,Concanamycin A,Deslanoside,DG(38:7),DG(38:9),DG(40:10),DG(42:10),DG(42:11),GalCer(d42:1),GlcCer(d33:1),Gln His Thr,Gln Pro Pro,LacCer(d32:0),LysoPE(22:5),MGDG(36:4),Momordin Ie,PA(29:0),PA(35:3),PA(39:6),PA(42:6),PA(44:1),PA(44:2),PC(30:1),PC(35:5),PC(36:5),PC(36:6),PC(37:4),PC(37:5),PC(37:7),PC(38:8),PC(39:8),PC(40:5),PC(P-34:4),PC(P-36:4),PC(P-38:6),PC(P-40:6),PE(36:5),PE(36:6),PE(38:2),PE(40:4),PE(P-40:5),PE(40:5),PE(42:11),PE(42:8),PE(P-36:1),PE(P-40:6),PI(42:11),PS(39:8),PS(40:5),PS(40:8),PS(42:5),SM(d34:2),TG(34:10),TG(50:3),TG(52:7),TG(52:9),TG(56:10),TG(56:11),TG(56:7),TG(58:11),TG(58:13),TG(58:9),TG(60:15),TG(62:13),Tylactone
EPA 122,EPA,3231.5852,14058.007,3231.5852,3767.06,46148.582,20334.195,281643.4,1573.7654,27202.293,41894.47,2001.9161,672955,2041.0333,1482.0121,591422.6,15116.758,1547479.1,292851.94,324616.8,8047.386,4980.3867,4723.7363,19884.19,1546.6427,1982.9526,22238.404,1312.0344,15879.699,42002.082,7638.216,74219.69,4334.2637,6600.98,1.00E-05,153099.48,10474.655,2515.6187,1036.8008,2977.9668,50346.777,4101.2554,2802.9631,3578.4336,3892.8105,2091.9739,497.9152,769.9165,50903.574,7784.0923,4823.7227,2400.6875,40916.625,1.00E-05,2114.4795,41783.29,6880.4062,104952.7,1298.1304,2001.9161,1551.2109,736.51874,2488.2283,2548.591,24975.094,47594.44,719868.1,69356.8,416935.4,259749.1,568421.94,386724.9,57415.08,78369.25,34756.562,2290.239,6263.029
EPA 123,EPA,2644.1768,13985.695,2644.1768,3298.833,46045.96,20592.805,335141.94,1476.0233,18470.184,38245.23,3728.0588,542882.1,2282.1636,2442.579,422151.22,20138.594,1255584.6,226247.3,266936.5,7886.8086,5220.7524,2775.599,15018.813,1483.3934,2203.7498,19629.717,2375.379,14858.324,28932.781,5490.4136,63436.547,3734.8945,5967.397,135.71323,164605.19,15040.602,3011.3057,1355.3214,1935.8264,61477.266,5884.6064,2917.057,5502.0425,4252.5034,7462.1626,1.00E-05,481.82806,71080.22,10072.685,5634.4277,2402.4922,40439.92,1935.8264,2161.434,38245.23,6051.602,117514.086,1825.3916,3728.0588,1612.8756,1567.5841,3671.0415,4688.8525,26867.812,43404.33,715301.3,70848.21,438457.44,293047.78,586380.2,446862.03,72613.1,66377.28,41995.617,2399.1519,4211.21
EPA 125,EPA,2442.9243,8620.662,2442.9243,3394.2673,28216.729,12608.929,193047.7,1301.408,27235.348,56102.316,2887.9297,654727.6,2041.6185,2238.7336,628096,18485.986,1513081.1,289155.9,309371.6,12235.322,5225.7466,7812.2373,15175.207,1449.792,3399.4731,28516.854,1343.5377,19699.076,34168.86,7429.427,99286.055,4002.9692,6857.8965,205.10336,164626.6,11436.222,2796.633,712.861,3053.0774,56309.07,4602.6025,3138.978,6416.608,6278.769,5993.069,386.67947,1.00E-05,58075.293,8586.996,5512.943,2565.216,55912.156,3053.0774,2630.9636,55059.883,9717.7705,120598.43,1502.9938,2887.9297,5803.516,1012.62646,3185.8127,6293.6655,16144.441,36824.066,694010.9,46140.508,319018.66,169899.66,473963.34,300443.44,14115.958,57796.656,20507.479,2024.9384,3731.9355
EPA 129,EPA,3620.9949,18574.111,3620.9949,4148.719,45286.844,21367.342,286710.22,1845.4824,21808.217,58578.336,3233.8962,730481.06,2360.3748,2558.3433,655187.25,18542.393,1675377.4,329190.78,359380.9,11425.616,5763.5356,7943.8213,25062.05,2058.8306,2836.3076,32115.168,2511.5757,25203.398,41965.23,7544.9375,98334.766,4401.34,5683.32,1.00E-05,236183.03,15269.433,3784.3372,1531.9508,2062.3625,87348.234,5707.1226,4667.757,7345.802,6381.829,13508.5,292.62784,1.00E-05,92887.58,11636.8955,6297.079,2973.921,71047.69,1.00E-05,3775.432,58592.06,7808.793,168302.19,1727.3896,3233.8962,7569.6157,2193.2476,4252.4604,8673.187,24856.152,30799.066,659538.06,65290.387,374950.5,250470.02,537262.1,398811.03,59542.652,74183.16,35580.824,2851.5444,3871.8591
EPA 130,EPA,2922.7085,16452.723,2922.7085,3429.4165,46270.086,18528.979,360116.8,1803.6066,7544.0854,43989.35,4153.081,478854.38,2278.892,2656.5864,360216.1,21032.223,1083497.9,190577.61,207733.84,8383.121,5403.047,16620.541,34061.883,829.3937,2298.3208,26479.773,2920.2446,11927.548,22321.744,4383.755,75512.99,3738.934,5400.9604,1596.6908,193381.97,17119.564,3072.814,1486.8914,2362.217,106723.47,6459.8306,2869.894,7089.4316,5678.7236,21350.596,348.5413,347.324,115453.3,13382.655,6888.5796,2312.3257,54019.54,1.00E-05,2502.3804,44001.734,9855.847,177309.7,1844.8268,4153.081,2488.4514,1019.6992,3964.1836,6734.216,25559.863,37045.742,679674,68236.63,428942.72,318699.03,590237.06,488280.3,73552.74,85398.14,38576.195,2277.8552,3550.1907
HF60 101,HF,2.4853165,1855.6494,2.4853165,612.23395,3624.8044,139.74446,31650.309,1442.396,161337.6,8663.335,1078.604,27675.252,3831.632,2812.1858,13433.449,16930.328,57893.07,75241.01,62216.59,3561.8684,5204.87,701.16736,601.22565,1975.6731,898.37775,8665.8125,3192.3767,2266.0208,3606.4463,208.38203,15055.028,5376.8384,10217.603,363.54782,262986,2475.9023,2552.7605,2345.3826,20396.752,53576.66,930.07043,17602.832,2699.9363,6771.833,18750.035,881.81213,1827.8707,3197.142,13797.205,6742.126,11520.363,16395.855,19344.691,1440.591,8663.335,8070.1416,89464.19,2433.3105,1078.604,1777.1351,1327.9944,4374.082,4350.3994,2910.9307,47873.47,903967.9,26272.723,482018.47,10611.687,470143.03,130069.63,1.00E-05,29211.244,1.00E-05,318.0562,2235.393
HF60 106,HF,364.99988,2424.4192,364.99988,771.97723,4717.0195,283.8175,37235.17,1324.1183,34527.09,8201.316,1287.5645,27098.654,5044.326,4656.255,15175.492,15752.919,59598.645,79953.16,72116.35,416.8252,4551.1074,2144.5046,667.1213,2488.7454,702.58344,6612.5117,5316.713,2226.566,3701.384,649.0215,12638.092,5495.068,11075.169,1330.0154,250683.53,2529.056,3583.512,2767.672,16505.178,44318.832,1547.457,15329.039,3528.4614,5870.408,14441.623,909.4593,3126.6604,4071.8474,8514.436,7639.3677,8366.914,12350.508,16505.178,1697.4564,7728.102,6477.064,82105.664,3802.0583,1287.5645,2432.0015,1007.50995,8454.225,7769.5205,1714.125,44700.87,824016.94,27835.727,449803.34,12845.624,503929.4,158337.08,1.00E-05,38201.633,1.00E-05,344.23163,4257.2334
HF60 108,HF,135.37141,1919.1084,135.37141,547.409,3685.7737,272.99994,34500.74,1296.149,190394.86,7885.163,879.58026,18479.836,3567.3867,3612.1821,10490.794,17410.197,41323.406,62143.01,51817.652,1365.9368,4034.4797,1738.9855,235.39268,1997.1115,689.07684,6686.3047,4548.928,1698.9102,3097.6382,270.0776,14095.287,4470.3975,9971.305,162.44475,238566.31,2381.37,2669.0435,2260.443,18987.326,51332.52,764.86005,15329.871,2817.4512,5743.908,15282.609,450.42917,428.59735,3496.2627,11603.566,6704.8105,8904.163,12554.114,19027.77,1574.742,7885.163,8246.751,79387.65,2914.1436,879.58026,2160.3328,875.8575,6183.5117,5497.0703,548.07117,52635.52,962246.56,24444.166,518422,6676.697,479124.06,134858,1.00E-05,30470.04,1.00E-05,0,3638.464
HF60 110,HF,358.76746,924.3308,358.76746,358.17712,1133.5958,155.44041,1.00E-05,1653.7958,181629.16,11662.477,662.8204,36768.223,4293.633,3919.993,22584.945,7209.0005,81249.2,101113.266,84352.36,7948.1987,5601.9194,764.4639,1086.7291,2439.5278,705.97723,10078.26,3568.7063,2953.4382,3782.1265,757.526,19590.855,4721.8945,8505.92,137.86037,266250.84,2605.6726,2835.2192,2511.2114,18130.344,43484.766,1.00E-05,15559.653,3638.9246,9605.313,5635.0786,322.94742,1.00E-05,3279.0151,7246.2964,5079.201,10222.706,19298.867,18168.643,2223.7754,10183.826,8808.395,68905.54,3196.2844,662.8204,1311.8738,541.3403,6410.1606,9920.23,511.9778,25890.922,754575.7,19264.367,335782.66,4396.9893,357213.56,83457.81,1.00E-05,18437.227,1.00E-05,146.66104,3165.696
